"date","year","monthnumber","month","mm_yyyy","daynumber","newcases","totalcases","newdeaths","totalvaccinations","peoplevaccinated","peoplefullyvaccinated","newvaccinations","numberofpassengers"
"2022-01-09","2022",1,"January","Jan-22",1,485031,60417703,590,528647966,246520745,210876724,493746,1693518
"2022-01-10","2022",1,"January","Jan-22",2,1383913,61801616,2014,529894833,246850514,211066608,1246867,1449550
"2022-01-11","2022",1,"January","Jan-22",3,787394,62589010,2518,531190256,247188527,211267744,1295423,1125952
"2022-01-12","2022",1,"January","Jan-22",4,848642,63437652,2828,532486686,247527802,211467465,1296430,1231419
"2022-01-13","2022",1,"January","Jan-22",5,861347,64298999,2532,533762348,247864120,211655777,1275662,1541835
"2022-01-14","2022",1,"January","Jan-22",6,880068,65179067,2765,535218201,248241831,211830215,1455853,1728383
"2022-01-15","2022",1,"January","Jan-22",7,408325,65587392,998,536004203,248467823,211917763,786002,1403734
"2022-01-16","2022",1,"January","Jan-22",1,479806,66067198,741,536393434,248574265,211975727,389231,1379403
"2022-01-17","2022",1,"January","Jan-22",2,675141,66742339,1025,537216250,248790085,212116305,822816,1699242
"2022-01-18","2022",1,"January","Jan-22",3,1129521,67871860,2686,538205582,249042123,212304416,989332,1301462
"2022-01-19","2022",1,"January","Jan-22",4,908133,68779993,3507,539174682,249290778,212490533,969100,1201583
"2022-01-20","2022",1,"January","Jan-22",5,732606,69512599,2938,540101436,249529529,212666574,926754,1471161
"2022-01-21","2022",1,"January","Jan-22",6,841101,70353700,3387,541168333,249804222,212827396,1066897,1514369
"2022-01-22","2022",1,"January","Jan-22",7,302516,70656216,998,541783850,249975355,212910132,615517,1241792
"2022-01-23","2022",1,"January","Jan-22",1,365454,71021670,709,542113896,250066617,212974276,330046,1648529
"2022-01-24","2022",1,"January","Jan-22",2,922164,71943834,2165,542904220,250269496,213134178,790324,1397281
"2022-01-25","2022",1,"January","Jan-22",3,493097,72436931,3215,543700189,250472176,213309250,795969,1059741
"2022-01-26","2022",1,"January","Jan-22",4,624069,73061000,3855,544484292,250671773,213487663,784103,1198339
"2022-01-27","2022",1,"January","Jan-22",5,506263,73567263,2631,545266101,250868933,213662176,781809,1555773
"2022-01-28","2022",1,"January","Jan-22",6,614080,74181343,4119,546211499,251096878,213871636,945398,1632406
"2022-01-29","2022",1,"January","Jan-22",7,178627,74359970,1186,546678958,251217319,213983659,467459,1070691
"2022-01-30","2022",1,"January","Jan-22",1,197964,74557934,471,546942534,251289462,214050826,263576,1714280
"2022-01-31","2022",1,"January","Jan-22",2,542245,75100179,2622,547568637,251448932,214208880,626103,1537573
"2022-02-01","2022",2,"February","Feb-22",3,325414,75425593,3382,548175068,251597631,214368115,606431,1200580
"2022-02-02","2022",2,"February","Feb-22",4,329541,75755134,3593,548739880,251740592,214522130,564812,1192973
"2022-02-03","2022",2,"February","Feb-22",5,274812,76029946,2475,549252835,251868164,214661492,512955,1339533
"2022-02-04","2022",2,"February","Feb-22",6,354972,76384918,4105,549902809,252020779,214845145,649974,1577790
"2022-02-05","2022",2,"February","Feb-22",7,86431,76471349,902,550338730,252130141,214977761,435921,1399444
"2022-02-06","2022",2,"February","Feb-22",1,83477,76554826,458,550551090,252189743,215038430,212360,1785846
"2022-02-07","2022",2,"February","Feb-22",2,346441,76901267,3066,551029811,252317375,215170045,478721,1591438
"2022-02-08","2022",2,"February","Feb-22",3,214372,77115639,2997,551526161,252442476,215315060,496350,1232591
"2022-02-09","2022",2,"February","Feb-22",4,188407,77304046,3443,552031913,252571855,215459905,505752,1386325
"2022-02-10","2022",2,"February","Feb-22",5,171413,77475459,3280,552534630,252699354,215599169,502717,1782705
"2022-02-11","2022",2,"February","Feb-22",6,209319,77684778,2706,553152036,252850649,215772191,617406,1914374
"2022-02-12","2022",2,"February","Feb-22",7,51867,77736645,814,553497155,252941723,215874121,345119,1534080
"2022-02-13","2022",2,"February","Feb-22",1,58321,77794966,572,553649186,252984935,215919996,152031,1815824
"2022-02-14","2022",2,"February","Feb-22",2,170181,77965147,3203,553987439,253073321,216016799,338253,1731473
"2022-02-15","2022",2,"February","Feb-22",3,111172,78076319,2611,554384897,253173308,216131479,397458,1479653
"2022-02-16","2022",2,"February","Feb-22",4,114817,78191136,3188,554793945,253275729,216247381,409048,1656217
"2022-02-17","2022",2,"February","Feb-22",5,101691,78292827,2957,555196250,253374293,216356254,402305,1977756
"2022-02-18","2022",2,"February","Feb-22",6,145170,78437997,2503,555718212,253498048,216498113,521962,2241123
"2022-02-19","2022",2,"February","Feb-22",7,31406,78469403,683,555999721,253572878,216576181,281509,1826392
"2022-02-20","2022",2,"February","Feb-22",1,23005,78492408,438,556153415,253615433,216618149,153694,2067788
"2022-02-21","2022",2,"February","Feb-22",2,82890,78575298,918,556469295,253695809,216705711,315880,2215453
"2022-02-22","2022",2,"February","Feb-22",3,89335,78664633,2173,556812523,253783190,216801151,343228,1780987
"2022-02-23","2022",2,"February","Feb-22",4,85138,78749771,3115,557150869,253869577,216892925,338346,1752841
"2022-02-24","2022",2,"February","Feb-22",5,67072,78816843,2969,557476034,253951697,216977196,325165,1980803
"2022-02-25","2022",2,"February","Feb-22",6,74372,78891215,2083,557864726,254046868,217080854,388692,2098325
"2022-02-26","2022",2,"February","Feb-22",7,47412,78938627,761,558106749,254112211,217144857,242023,1840996
"2022-02-27","2022",2,"February","Feb-22",1,18220,78956847,223,558229563,254146365,217176576,122814,2145281
"2022-02-28","2022",2,"February","Feb-22",2,98918,79055765,2152,558541188,254222388,217256039,311625,1979422
"2022-03-01","2022",3,"March","Mar-22",3,46707,79102472,1786,558813071,254290081,217327719,271883,1635546
"2022-03-02","2022",3,"March","Mar-22",4,53401,79155873,2094,559067704,254356234,217398194,254633,1738406
"2022-03-03","2022",3,"March","Mar-22",5,48608,79204481,1716,559319243,254420876,217466593,251539,2038115
"2022-03-04","2022",3,"March","Mar-22",6,51257,79255738,1736,559634224,254498989,217554090,314981,2132807
"2022-03-05","2022",3,"March","Mar-22",7,14919,79270657,306,559814661,254548528,217605215,180437,1830246
"2022-03-06","2022",3,"March","Mar-22",1,12394,79283051,212,559902786,254574949,217629375,88125,2180940
"2022-03-07","2022",3,"March","Mar-22",2,64081,79347132,1708,560111231,254631278,217683355,208445,2017973
"2022-03-08","2022",3,"March","Mar-22",3,29755,79376887,1419,560323970,254686237,217741200,212739,1644052
"2022-03-09","2022",3,"March","Mar-22",4,37701,79414588,2027,560534162,254741659,217799427,210192,1844208
"2022-03-10","2022",3,"March","Mar-22",5,46578,79461166,1774,560744805,254796027,217858003,210643,2184044
"2022-03-11","2022",3,"March","Mar-22",6,49705,79510871,1657,561001056,254860138,217930744,256251,2297374
"2022-03-12","2022",3,"March","Mar-22",7,10218,79521089,275,561141999,254899390,217971458,140943,1990954
"2022-03-13","2022",3,"March","Mar-22",1,11050,79532139,192,561215696,254921139,217992105,73697,2288800
"2022-03-14","2022",3,"March","Mar-22",2,35384,79567523,1326,561408256,254972072,218042551,192560,2200172
"2022-03-15","2022",3,"March","Mar-22",3,24375,79591898,1088,561610122,255024554,218094608,201866,1858773
"2022-03-16","2022",3,"March","Mar-22",4,46129,79638027,1848,561814736,255078323,218146147,204614,1993734
"2022-03-17","2022",3,"March","Mar-22",5,53172,79691199,1511,562008919,255127701,218193706,194183,2221946
"2022-03-18","2022",3,"March","Mar-22",6,31358,79722557,814,562259239,255190474,218254463,250320,2308212
"2022-03-19","2022",3,"March","Mar-22",7,10879,79733436,284,562403328,255229519,218290904,144089,2099056
"2022-03-20","2022",3,"March","Mar-22",1,11451,79744887,87,562478506,255252228,218308543,75178,2366751
"2022-03-21","2022",3,"March","Mar-22",2,42269,79787156,1533,562664096,255303846,218351737,185590,2158280
"2022-03-22","2022",3,"March","Mar-22",3,24562,79811718,566,562843857,255351423,218394587,179761,1856872
"2022-03-23","2022",3,"March","Mar-22",4,41011,79852729,1649,563033837,255403549,218440205,189980,1962056
"2022-03-24","2022",3,"March","Mar-22",5,42994,79895723,864,563219658,255456118,218482543,185821,2234353
"2022-03-25","2022",3,"March","Mar-22",6,46436,79942159,622,563448344,255518282,218536003,228686,2290587
"2022-03-26","2022",3,"March","Mar-22",7,9434,79951593,151,563570752,255552205,218565815,122408,2009500
"2022-03-27","2022",3,"March","Mar-22",1,11790,79963383,60,563634197,255570173,218580510,63445,2307110
"2022-03-28","2022",3,"March","Mar-22",2,38970,80002353,1032,563804049,255620186,218617664,169852,2131678
"2022-03-29","2022",3,"March","Mar-22",3,24181,80026534,985,563998380,255666184,218657035,194331,1736292
"2022-03-30","2022",3,"March","Mar-22",4,39182,80065716,1168,564396475,255726386,218714001,398095,1887350
"2022-03-31","2022",3,"March","Mar-22",5,45634,80111350,521,564947914,255802078,218779418,551439,2196867
"2022-04-01","2022",4,"April","Apr-22",6,32218,80143568,835,565596786,255880930,218858107,648872,2271659
"2022-04-02","2022",4,"April","Apr-22",7,11807,80155375,158,565939817,255926532,218901959,343031,1913117
"2022-04-03","2022",4,"April","Apr-22",1,4755,80160130,59,566148751,255955472,218927702,208934,2204115
"2022-04-04","2022",4,"April","Apr-22",2,28904,80189034,589,566702418,256025302,218988919,553667,2139084
"2022-04-05","2022",4,"April","Apr-22",3,25603,80214637,514,567251484,256088053,219049835,549066,1848862
"2022-04-06","2022",4,"April","Apr-22",4,40947,80255584,1128,567824662,256153062,219113858,573178,1978691
"2022-04-07","2022",4,"April","Apr-22",5,50638,80306222,829,568403362,256216637,219176294,578700,2216218
"2022-04-08","2022",4,"April","Apr-22",6,75026,80381248,643,569071468,256288166,219250745,668106,2318977
"2022-04-09","2022",4,"April","Apr-22",7,12712,80393960,145,569407662,256331906,219292421,336194,1946502
"2022-04-10","2022",4,"April","Apr-22",1,9532,80403492,25,569603430,256359452,219316913,195768,2293548
"2022-04-11","2022",4,"April","Apr-22",2,40341,80443833,339,570180487,256423715,219378330,577057,2181446
"2022-04-12","2022",4,"April","Apr-22",3,35744,80479577,616,570790360,256488681,219440990,609873,1883294
"2022-04-13","2022",4,"April","Apr-22",4,55390,80534967,949,571367595,256554426,219502544,577235,2040285
"2022-04-14","2022",4,"April","Apr-22",5,50664,80585631,705,571951416,256620736,219564152,583821,2337501
"2022-04-15","2022",4,"April","Apr-22",6,35438,80621069,462,572514427,256687853,219627982,563011,2311092
"2022-04-16","2022",4,"April","Apr-22",7,12336,80633405,54,572773446,256724873,219660717,259019,1894331
"2022-04-17","2022",4,"April","Apr-22",1,7503,80640908,11,572832626,256736788,219668936,59180,2214519
"2022-04-18","2022",4,"April","Apr-22",2,61388,80702296,261,573342916,256796315,219724966,510290,2288902
"2022-04-19","2022",4,"April","Apr-22",3,39262,80741558,444,573878783,256857419,219780997,535867,1979882
"2022-04-20","2022",4,"April","Apr-22",4,68939,80810497,895,574407369,256917967,219837671,528586,2027836
"2022-04-21","2022",4,"April","Apr-22",5,61696,80872193,430,574903610,256975775,219891617,496241,2279905
"2022-04-22","2022",4,"April","Apr-22",6,90052,80962245,559,575386472,257031606,219946164,482862,2293242
"2022-04-23","2022",4,"April","Apr-22",7,19732,80981977,51,575645662,257068579,219978913,259190,1826772
"2022-04-24","2022",4,"April","Apr-22",1,13488,80995465,32,575778102,257089555,219996403,132440,2293427
"2022-04-25","2022",4,"April","Apr-22",2,70204,81065669,288,576198019,257140087,220044316,419917,2182717
"2022-04-26","2022",4,"April","Apr-22",3,45350,81111019,328,576645432,257192135,220093050,447413,1863020
"2022-04-27","2022",4,"April","Apr-22",4,90015,81201034,803,577110783,257246296,220143732,465351,1996601
"2022-04-28","2022",4,"April","Apr-22",5,77355,81278389,410,577578386,257300825,220195379,467603,2258077
"2022-04-29","2022",4,"April","Apr-22",6,61189,81339578,430,578078170,257359393,220252795,499784,2275133
"2022-04-30","2022",4,"April","Apr-22",7,23980,81363558,115,578315117,257393222,220283524,236947,1877559
"2022-05-01","2022",5,"May","May-22",1,16700,81380258,22,578442034,257413578,220300393,126917,2263646
"2022-05-02","2022",5,"May","May-22",2,94705,81474963,290,578824723,257461255,220343877,382689,2136427
"2022-05-03","2022",5,"May","May-22",3,49586,81524549,753,579233923,257510770,220389587,409200,1764745
"2022-05-04","2022",5,"May","May-22",4,112025,81636574,1950,579638673,257560706,220435006,404750,1953128
"2022-05-05","2022",5,"May","May-22",5,88548,81725122,309,580038078,257609330,220480686,399405,2234701
"2022-05-06","2022",5,"May","May-22",6,128756,81853878,376,580481189,257663289,220533073,443111,2279258
"2022-05-07","2022",5,"May","May-22",7,27818,81881696,185,580684421,257693537,220560262,203232,1869222
"2022-05-08","2022",5,"May","May-22",1,5761,81887457,25,580773487,257709423,220571784,89066,2248861
"2022-05-09","2022",5,"May","May-22",2,130007,82017464,248,581153409,257755997,220615279,379922,2231804
"2022-05-10","2022",5,"May","May-22",3,70239,82087703,332,581563421,257806364,220660083,410012,1900738
"2022-05-11","2022",5,"May","May-22",4,160178,82247881,928,581972398,257856565,220705237,408977,2025161
"2022-05-12","2022",5,"May","May-22",5,113975,82361856,59,582391901,257906921,220750903,419503,2327671
"2022-05-13","2022",5,"May","May-22",6,87370,82449226,200,582849266,257963512,220800993,457365,2352035
"2022-05-14","2022",5,"May","May-22",7,17043,82466269,57,583082942,257996928,220829871,233676,1979713
"2022-05-15","2022",5,"May","May-22",1,32100,82498369,33,583210807,258017177,220846289,127865,2395894
"2022-05-16","2022",5,"May","May-22",2,178703,82677072,240,583587501,258066941,220888758,376694,2278197
"2022-05-17","2022",5,"May","May-22",3,84574,82761646,387,583981638,258118173,220931464,394137,2036479
"2022-05-18","2022",5,"May","May-22",4,203748,82965394,957,584386191,258170634,220976069,404553,2097515
"2022-05-19","2022",5,"May","May-22",5,135145,83100539,326,584809444,258223449,221021589,423253,2348193
"2022-05-20","2022",5,"May","May-22",6,149028,83249567,410,585305518,258283724,221074065,496074,2346625
"2022-05-21","2022",5,"May","May-22",7,26910,83276477,69,585569919,258318785,221104445,264401,1988843
"2022-05-22","2022",5,"May","May-22",1,19555,83296032,36,585719644,258340386,221122536,149725,2350927
"2022-05-23","2022",5,"May","May-22",2,142414,83438446,229,586140270,258393506,221167620,420626,2329044
"2022-05-24","2022",5,"May","May-22",3,82945,83521391,342,586550162,258444805,221210644,409892,2020742
"2022-05-25","2022",5,"May","May-22",4,209974,83731365,1069,586944730,258495408,221253770,394568,2147736
"2022-05-26","2022",5,"May","May-22",5,145351,83876716,333,587325425,258544119,221294436,380695,2379860
"2022-05-27","2022",5,"May","May-22",6,107839,83984555,552,587751327,258598745,221341224,425902,2384721
"2022-05-28","2022",5,"May","May-22",7,12493,83997048,33,587945171,258626225,221364012,193844,1994151
"2022-05-29","2022",5,"May","May-22",1,4539,84001587,8,588054611,258643828,221377214,109440,2096466
"2022-05-30","2022",5,"May","May-22",2,59714,84061301,27,588083513,258649232,221380948,28902,2312179
"2022-05-31","2022",5,"May","May-22",3,166927,84228228,342,588434707,258696682,221423061,351194,2108054
"2022-06-01","2022",6,"June","Jun-22",4,223673,84451901,652,588775323,258747017,221460079,340616,1999087
"2022-06-02","2022",6,"June","Jun-22",5,118424,84570325,317,589087860,258787315,221493863,312537,2213168
"2022-06-03","2022",6,"June","Jun-22",6,154004,84724329,391,589425825,258831184,221531065,337965,2332592
"2022-06-04","2022",6,"June","Jun-22",7,24555,84748884,145,589584836,258853710,221549942,159011,1981408
"2022-06-05","2022",6,"June","Jun-22",1,13138,84762022,18,589635094,258862178,221556299,50258,2387196
"2022-06-06","2022",6,"June","Jun-22",2,120265,84882287,272,589654644,258865995,221559553,19550,2279743
"2022-06-07","2022",6,"June","Jun-22",3,121658,85003945,469,NULL,NULL,NULL,NULL,2052377
"2022-06-08","2022",6,"June","Jun-22",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2155747
"2022-06-09","2022",6,"June","Jun-22",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2371014
