Date,NumberOfPassengers
10/17/2019,2606266
10/18/2019,2514673
10/19/2019,2126637
10/20/2019,2245199
10/21/2019,2541581
10/22/2019,2594337
10/23/2019,1931971
10/24/2019,2478287
10/25/2019,2347017
10/26/2019,1910506
10/27/2019,2066516
10/28/2019,2047910
10/29/2019,2319906
10/30/2019,1836781
10/31/2019,2459525
11/1/2019,2403304
11/2/2019,2005101
11/3/2019,2147882
11/4/2019,2507365
11/5/2019,2544350
11/6/2019,1908805
11/7/2019,2356349
11/8/2019,2465392
11/9/2019,2150003
11/10/2019,2072207
11/11/2019,2364920
11/12/2019,2437211
11/13/2019,1807230
11/14/2019,2396681
11/15/2019,2298856
11/16/2019,1900895
11/17/2019,2071631
11/18/2019,2428095
11/19/2019,2550459
11/20/2019,2194291
11/21/2019,2321546
11/22/2019,2254188
11/23/2019,2435170
11/24/2019,2624250
11/25/2019,1591158
11/26/2019,1968137
11/27/2019,2648268
11/28/2019,2882915
11/29/2019,2591470
11/30/2019,2280403
12/1/2019,2054380
12/2/2019,2262878
12/3/2019,2278205
12/4/2019,1755801
12/5/2019,2292079
12/6/2019,2226290
12/7/2019,1897051
12/8/2019,2020488
12/9/2019,2362310
12/10/2019,2388029
12/11/2019,1893871
12/12/2019,2300248
12/13/2019,2250386
12/14/2019,2009112
12/15/2019,2234374
12/16/2019,2471408
12/17/2019,2608088
12/18/2019,2487987
12/19/2019,2519399
12/20/2019,2490503
12/21/2019,1981433
12/22/2019,1937235
12/23/2019,2552194
12/24/2019,2582580
12/25/2019,2470786
12/26/2019,2575985
12/27/2019,2500396
12/28/2019,2009880
12/29/2019,2133253
12/30/2019,2392331
12/31/2019,2311732
1/1/2020,2178656
1/2/2020,2422272
1/3/2020,2210542
1/4/2020,1806480
1/5/2020,1815040
1/6/2020,2034472
1/7/2020,2072543
1/8/2020,1687974
1/9/2020,2183734
1/10/2020,1992453
1/11/2020,1691205
1/12/2020,1876782
1/13/2020,2242656
1/14/2020,2347075
1/15/2020,1781893
1/16/2020,2000260
1/17/2020,2298616
1/18/2020,1870459
1/19/2020,1801444
1/20/2020,2100401
1/21/2020,2145063
1/22/2020,1645196
1/23/2020,2136584
1/24/2020,2004609
1/25/2020,1643435
1/26/2020,1777171
1/27/2020,2085468
1/28/2020,2159047
1/29/2020,1658886
1/30/2020,1948138
1/31/2020,2054725
2/1/2020,1677798
2/2/2020,1843877
2/3/2020,2167857
2/4/2020,2271551
2/5/2020,1770241
2/6/2020,2224826
2/7/2020,2164951
2/8/2020,1814047
2/9/2020,2038375
2/10/2020,2415185
2/11/2020,2507588
2/12/2020,1972248
2/13/2020,2198657
2/14/2020,2494922
2/15/2020,2190300
2/16/2020,2129862
2/17/2020,2358511
2/18/2020,2429489
2/19/2020,1951535
2/20/2020,2380359
2/21/2020,2267382
2/22/2020,1919803
2/23/2020,2075554
2/24/2020,2364727
2/25/2020,2441643
2/26/2020,1949696
2/27/2020,2353150
2/28/2020,2089641
2/29/2020,1736393
3/1/2020,1877401
3/2/2020,2130015
3/3/2020,2198517
3/4/2020,1844811
3/5/2020,2119867
3/6/2020,1909363
3/7/2020,1617220
3/8/2020,1702686
3/9/2020,1788456
3/10/2020,1714372
3/11/2020,1485553
3/12/2020,1519192
3/13/2020,1257823
3/14/2020,953699
3/15/2020,779631
3/16/2020,620883
3/17/2020,593167
3/18/2020,548132
3/19/2020,454516
3/20/2020,331431
3/21/2020,279018
3/22/2020,239234
3/23/2020,203858
3/24/2020,199644
3/25/2020,184027
3/26/2020,180002
3/27/2020,154080
3/28/2020,146348
3/29/2020,136023
3/30/2020,124021
3/31/2020,129763
4/1/2020,118302
4/2/2020,122029
4/3/2020,108310
4/4/2020,97130
4/5/2020,94931
4/6/2020,104090
4/7/2020,108977
4/8/2020,93645
4/9/2020,90510
4/10/2020,102184
4/11/2020,87534
4/12/2020,90784
4/13/2020,95085
4/14/2020,106385
4/15/2020,97236
4/16/2020,105382
4/17/2020,99344
4/18/2020,92859
4/19/2020,98968
4/20/2020,111627
4/21/2020,123464
4/22/2020,114459
4/23/2020,128875
4/24/2020,119854
4/25/2020,110913
4/26/2020,119629
4/27/2020,154695
4/28/2020,171563
4/29/2020,134261
4/30/2020,170254
5/1/2020,163692
5/2/2020,130601
5/3/2020,140409
5/4/2020,190863
5/5/2020,215444
5/6/2020,169580
5/7/2020,200815
5/8/2020,215645
5/9/2020,163205
5/10/2020,176667
5/11/2020,234928
5/12/2020,250467
5/13/2020,193340
5/14/2020,253807
5/15/2020,244176
5/16/2020,190477
5/17/2020,230367
5/18/2020,318449
5/19/2020,348673
5/20/2020,253190
5/21/2020,267451
5/22/2020,340769
5/23/2020,264843
5/24/2020,261170
5/25/2020,321776
5/26/2020,327133
5/27/2020,268867
5/28/2020,352947
5/29/2020,353261
5/30/2020,267742
5/31/2020,304436
6/1/2020,391882
6/2/2020,419675
6/3/2020,353016
6/4/2020,441255
6/5/2020,430414
6/6/2020,338382
6/7/2020,386969
6/8/2020,502209
6/9/2020,519304
6/10/2020,437119
6/11/2020,426083
6/12/2020,502968
6/13/2020,544046
6/14/2020,534528
6/15/2020,417924
6/16/2020,441829
6/17/2020,576514
6/18/2020,587908
6/19/2020,507129
6/20/2020,590456
6/21/2020,607540
6/22/2020,471421
6/23/2020,494826
6/24/2020,623624
6/25/2020,632984
6/26/2020,546310
6/27/2020,633810
6/28/2020,625235
6/29/2020,500054
6/30/2020,626516
7/1/2020,764761
7/2/2020,718988
7/3/2020,466669
7/4/2020,732123
7/5/2020,755555
7/6/2020,641761
7/7/2020,632498
7/8/2020,709653
7/9/2020,711124
7/10/2020,656284
7/11/2020,754545
7/12/2020,697985
7/13/2020,540268
7/14/2020,589285
7/15/2020,706164
7/16/2020,720378
7/17/2020,646654
7/18/2020,747422
7/19/2020,695330
7/20/2020,530421
7/21/2020,570951
7/22/2020,704815
7/23/2020,724770
7/24/2020,649027
7/25/2020,751205
7/26/2020,700043
7/27/2020,536756
7/28/2020,573200
7/29/2020,718310
7/30/2020,767320
7/31/2020,709033
8/1/2020,799861
8/2/2020,737235
8/3/2020,543601
8/4/2020,595739
8/5/2020,743599
8/6/2020,762547
8/7/2020,683212
8/8/2020,831789
8/9/2020,761861
8/10/2020,559420
8/11/2020,590749
8/12/2020,761821
8/13/2020,783744
8/14/2020,689895
8/15/2020,862949
8/16/2020,773319
8/17/2020,565946
8/18/2020,586718
8/19/2020,772380
8/20/2020,764468
8/21/2020,625822
8/22/2020,841806
8/23/2020,726788
8/24/2020,523186
8/25/2020,540043
8/26/2020,721060
8/27/2020,738873
8/28/2020,591734
8/29/2020,807695
8/30/2020,711178
8/31/2020,516068
9/1/2020,578131
9/2/2020,877698
9/3/2020,968673
9/4/2020,664640
9/5/2020,689630
9/6/2020,935308
9/7/2020,704075
9/8/2020,616923
9/9/2020,755051
9/10/2020,731353
9/11/2020,613703
9/12/2020,809850
9/13/2020,729558
9/14/2020,522383
9/15/2020,577847
9/16/2020,784746
9/17/2020,812214
9/18/2020,638575
9/19/2020,847968
9/20/2020,769936
9/21/2020,549741
9/22/2020,608726
9/23/2020,826316
9/24/2020,826329
9/25/2020,659350
9/26/2020,873038
9/27/2020,797699
9/28/2020,568688
9/29/2020,634046
9/30/2020,855908
10/1/2020,857186
10/2/2020,677661
10/3/2020,900911
10/4/2020,816838
10/5/2020,590766
10/6/2020,668519
10/7/2020,936915
10/8/2020,968545
10/9/2020,769868
10/10/2020,984234
10/11/2020,958440
10/12/2020,680894
10/13/2020,717940
10/14/2020,950024
10/15/2020,973046
10/16/2020,788743
10/17/2020,1031505
10/18/2020,921031
10/19/2020,662484
10/20/2020,694150
10/21/2020,934386
10/22/2020,958437
10/23/2020,755287
10/24/2020,983745
10/25/2020,898735
10/26/2020,648517
10/27/2020,666957
10/28/2020,873636
10/29/2020,892712
10/30/2020,618476
10/31/2020,936092
11/1/2020,846138
11/2/2020,575829
11/3/2020,636533
11/4/2020,867105
11/5/2020,895091
11/6/2020,689951
11/7/2020,973020
11/8/2020,836600
11/9/2020,596475
11/10/2020,674633
11/11/2020,866679
11/12/2020,881579
11/13/2020,697360
11/14/2020,978297
11/15/2020,883157
11/16/2020,611497
11/17/2020,703135
11/18/2020,907332
11/19/2020,1019836
11/20/2020,984369
11/21/2020,1047934
11/22/2020,917354
11/23/2020,912090
11/24/2020,1070967
11/25/2020,560902
11/26/2020,820399
11/27/2020,964630
11/28/2020,1176091
11/29/2020,981912
11/30/2020,780283
12/1/2020,632356
12/2/2020,738050
12/3/2020,753951
12/4/2020,629430
12/5/2020,837137
12/6/2020,703546
12/7/2020,501513
12/8/2020,564372
12/9/2020,754307
12/10/2020,787489
12/11/2020,662380
12/12/2020,865014
12/13/2020,752451
12/14/2020,552024
12/15/2020,641966
12/16/2020,846934
12/17/2020,1066747
12/18/2020,1073563
12/19/2020,1064619
12/20/2020,954782
12/21/2020,992167
12/22/2020,1191123
12/23/2020,846520
12/24/2020,616469
12/25/2020,1128773
12/26/2020,1284599
12/27/2020,1111751
12/28/2020,1019347
12/29/2020,1163696
12/30/2020,874406
12/31/2020,805990
1/1/2021,1192881
1/2/2021,1327289
1/3/2021,1080346
1/4/2021,766594
1/5/2021,665855
1/6/2021,771734
1/7/2021,772471
1/8/2021,709444
1/9/2021,886536
1/10/2021,708177
1/11/2021,520117
1/12/2021,567401
1/13/2021,803688
1/14/2021,903039
1/15/2021,690438
1/16/2021,810654
1/17/2021,878048
1/18/2021,560190
1/19/2021,542338
1/20/2021,728978
1/21/2021,755028
1/22/2021,603527
1/23/2021,838116
1/24/2021,701709
1/25/2021,468933
1/26/2021,536935
1/27/2021,750558
1/28/2021,774688
1/29/2021,617489
1/30/2021,859039
